"","SYMBOL","ENSEMBL","ENTREZID"
"433","DGLUCY","ENSG00000133943","80017"
"434","C19orf48","ENSG00000167747","84798"
"435","PPRC1","ENSG00000148840","23082"
"436","RFC2","ENSG00000049541","5982"
"437","KSR2","ENSG00000171435","283455"
"438","ABHD4","ENSG00000100439","63874"
"439","SLFN5","ENSG00000166750","162394"
"440","ZWINT","ENSG00000122952","11130"
"441","CD99L2","ENSG00000102181","83692"
"442","DCN","ENSG00000011465","1634"
"443","TNFRSF10A","ENSG00000104689","8797"
"444","ESCO2","ENSG00000171320","157570"
"445","ACTA2","ENSG00000107796","59"
"446","BRCA1","ENSG00000012048","672"
"447","ERCC6L","ENSG00000186871","54821"
"448","DDR1","ENSG00000204580","780"
"449","DDR1","ENSG00000223680","780"
"450","DDR1","ENSG00000229767","780"
"451","DDR1","ENSG00000137332","780"
"452","DDR1","ENSG00000215522","780"
"453","DDR1","ENSG00000234078","780"
"454","DDR1","ENSG00000230456","780"
"455","SAGE1","ENSG00000181433","55511"
"456","TCF4","ENSG00000196628","6925"
"457","HIST1H1D","ENSG00000124575","3007"
"458","CHSY1","ENSG00000131873","22856"
"459","CTSK","ENSG00000143387","1513"
"460","DECR1","ENSG00000104325","1666"
"461","HMGCL","ENSG00000117305","3155"
"462","SLC12A6","ENSG00000140199","9990"
"463","ZNF429","ENSG00000197013","353088"
"464","COL4A3BP","ENSG00000113163","10087"
"465","ANK2","ENSG00000145362","287"
"466","FBN1","ENSG00000166147","2200"
"467","TMOD2","ENSG00000128872","29767"
"468","TM7SF2","ENSG00000149809","7108"
"469","CLDN1","ENSG00000163347","9076"
"470","APH1B","ENSG00000138613","83464"
"471","FOSL1","ENSG00000175592","8061"
"472","PHYH","ENSG00000107537","5264"
"473","DCLRE1B","ENSG00000118655","64858"
"474","SEL1L3","ENSG00000091490","23231"
"475","MTHFR","ENSG00000177000","4524"
"476","TP53INP2","ENSG00000078804","58476"
"477","CALCOCO1","ENSG00000012822","57658"
"478","ELK3","ENSG00000111145","2004"
"480","CTSO","ENSG00000256043","1519"
"481","CTSO","ENSG00000263238","1519"
"482","ALDH1A3","ENSG00000184254","220"
"483","MYBL2","ENSG00000101057","4605"
"484","BMP5","ENSG00000112175","653"
"485","PHLDA2","ENSG00000181649","7262"
"486","PHLDA2","ENSG00000274538","7262"
"487","LPXN","ENSG00000110031","9404"
"488","SCN2A","ENSG00000136531","6326"
"489","EFNA5","ENSG00000184349","1946"
"490","ELF1","ENSG00000120690","1997"
"491","SLC29A1","ENSG00000112759","2030"
"492","DDX21","ENSG00000165732","9188"
"493","SYTL5","ENSG00000147041","94122"
"494","KIFC1","ENSG00000237649","3833"
"495","KIFC1","ENSG00000056678","3833"
"496","KIFC1","ENSG00000204197","3833"
"497","KIFC1","ENSG00000233450","3833"
"498","LINC00310","ENSG00000227456","114036"
